Report,sentiment_category
[Bug Report]    XGBoost problem in ml_ops/sm-mlflow_pipelines/sm-mlflow_pipelines.ipynb,Negative
[Content Improvement],Neutral
 Building your own algorithm container scikit_build_your_own_container is breaking due to recent changes in the sagemaker SDK,Neutral
502 Bad Gateway when running bring your own model ,Negative
amazon sell,Positive
[Bug Report] Wrong function call in model_parallel_v2,Negative
[Content Improvement],Neutral
[Bug Report] vowpal wabbit container sagemaker-rl-vw-container:adf is no longer publicly available or has been removed,Negative
[Bug Report] The vowpal wabbit container sagemaker-rl-vw-container:vw-8.7.0-cpu is no longer available,Negative
[Bug Report] SageMaker Pipelines Notebook - XGBoost is first installed with anaconda then upgraded with pip. ,Neutral
[Content Improvement]Dead links in BERTopic example notebook,Neutral
cannot import name 'checkpoint' from 'torch.sagemaker.distributed.fsdp',Neutral
Unable to download model artifacts due to 403 forbidden error,Negative
[Bug Report] - README - Train EleutherAI GPT-J with Model Parallel Link Broken,Negative
 Parameter validation failed: Unknown parameter in PrimaryContainer,Negative
Deploy this TheBloke/vicuna-13B-v1.5-GGUF model on AWS,Neutral
[Bug Report]Error with using dgl library in Sagemaker,Neutral
Inference Recommender Job fails,Negative
AttributeError: module 'pandas.core.strings' has no attribute 'StringMethods',Negative
[Bug Report] Example notebook has incorrectly formatted serving.properties,Neutral
"Getting ""TypeError: can only join an iterable"" while running ""print(predictor.predict(test_data).decode(""utf-8""))""",Positive
getting error:,Negative
[Bug Report] Forbidden(403) on Introduction to JumpStart - Sentence Pair Classification,Neutral
[Example Request] Minimal Example for Fine Tuning a LLM with FSDP utilizing the HuggingFace Trainer ,Positive
[Bug Report] Introduction to JumpStart - Text to Image (TypeError),Neutral
[Example Request],Neutral
[Bug Report],Neutral
[Bug Report] Status: Failed when host Llama2-70B on Amazon SageMaker using TRT-LLM LMI container,Negative
[Bug Report] Public datasets page bucket amazon-reviews-pds is not accessible,Neutral
Sagemaker serverless - ValidationError: oversize body,Neutral
[Example Request] Example to host llama 13b on sagemaker using neurons,Neutral
ClientError: An error occurred (404) when calling the HeadObject operation: Not Found,Negative
ClientError: An error occurred (404) when calling the HeadObject operation: Not Found[Bug Report],Negative
Limit Audio File Whisper Large v2,Neutral
[Bug Report] KeyError in SgaeMakerPipelines local-mode notebook,Neutral
SNS issue For Async Inference - Sagemaker,Neutral
[Bug Report] is https://studiolab.sagemaker.aws not active ?,Negative
Whitespace in Dockerfile causes runtime errors,Negative
[Bug Report]  No model output after training,Negative
"[Example Request] pls fix reference to code from video SageMaker Fridays Season 4, Episode 6 - Automating an ML workflow for fraud detection",Negative
Timeout-Error,Neutral
[Bug Report] Training process from domain-adaption-finetuning-gpt-j-6b fails with ml.p3.2xlarge instance,Negative
Training job does not create model.tar.gz,Negative
[Bug Report] link to tensorflow_bring_your_own  is broken ,Negative
synthetic tabular data generation code - no sample input,Negative
[Bug Report],Neutral
Portfolio Management link does not work,Neutral
Jupyter notebook instance create_endpoint.ipynb is missing,Negative
GPT-NeoX,Neutral
pytorch_smdataparallel_maskrcnn_demo aborts unexpectedly,Neutral
Support PyTorch reduce_all in DDP using SMDDP so we can Parallelize Validation,Positive
[Bug Report] Broken link on Amazon SageMaker Examples for Retrieval Augmented Generation: Question and Answering based on custom data with LangChain,Negative
[Bug Report] Broken Notebook - Extractive Question Answering,Negative
Broken link,Negative
[Example Request] Example notebook to host StabilityAI's StableLM-base-alpha-7b model on SageMaker,Neutral
Autogluon model endpoint creation using 'AutoGluonRealtimePredictor' ,Positive
AutoGluon model endpoint creation using Batch Transform,Positive
Fail to launch Processing s3_data_distribution_type='ShardedByS3Key' ,Negative
[Bug Report] It looks like we cannot compile a model for AWS Inferentia with more complex input_shape,Positive
[Bug Report] Deploying SKLearn Random Forest Model on Endpoint gives DecisionTree Attribute error ,Negative
Training Pipeline to Create Inference Pipeline with Train/Test/Val Split,Positive
[Bug Report] invoke_endpoint is returning empty list in the response body.,Negative
Training fails on huggingface_byo_scripts_and_data,Negative
Add JAX+Flax example,Neutral
"[Bug Report] Fine tuned GPT-J model outputs gibberish, could be due to decoder token issue in training?",Positive
Data is no longer available for Example: Move Amazon SageMaker Autopilot ML models from experimentation to production using Amazon SageMaker Pipelines,Neutral
[Bug Report],Neutral
SageMaker OOM on 11_train_gptj_smp_tensor_parallel_notebook.ipynb,Neutral
[Bug Report]SD on sagemaker triton error,Negative
Bias mitigation and fairness boosting  in multi class classification use case using Amazon SageMaker Clarify,Positive
[Example Request]Hosting multiple booster models using SageMaker Multi-model endpoints on NVIDIA Triton,Neutral
"instance_type is a PipelineVariable (<class 'sagemaker.workflow.parameters.ParameterString'>). Its interpreted value in execution time should not be of GPU types since GPU training is not supported for Scikit-Learn. The input argument instance_type of function (sagemaker.image_uris.retrieve) is a pipeline variable (<class 'sagemaker.workflow.parameters.ParameterString'>), which is not allowed. The default_value of this Parameter object will be used to override it. Please make sure the default_value is valid",Positive
"[Bug Report] trial.collection('feature_importance"") not giving all values",Negative
[Bug Report] - SageMaker Pipelines to Run Jobs Locally,Neutral
[Content Improvement],Neutral
[AWS-Sagemekar] TensorBoardOutputConfig,Neutral
[Content Improvement],Neutral
[Bug Report] linear_learner_mnist_with_file_system_data_source notebook errors on subnet and security_group_id value type,Neutral
[Seq2Seq Example : Access denied error when downloading pretrained model from AWS S3 bucket ],Negative
Notebook xgboost_customer_churn fails with XGBoost 1.5-1 and 1.3-1 Images,Negative
"amazon-sagemaker-examples/step-functions-data-science-sdk --- Extract, Load, Transform failing, essentially the Glue job",Negative
[Example Request] PyTorch 1.11 with SM Training Compiler - Tuning Hyperparameters,Neutral
[Example Request] HuggingFace PyTorch 1.12 with SM Training Compiler - Multi Node Multi GPU,Neutral
[Content Improvement] stdout from wget in Machine Translation English-German Example Using SageMaker Seq2Seq,Neutral
[Content Improvement] Update instance types in pytorch_smdataparallel_mnist_demo,Neutral
"KernelRestarter: restarting kernel (1/5), keep random ports",Neutral
[Example Request] How to deploy the best tuned model using sagemaker pipelines?,Positive
insufficient Disk space error in p3.8xlarge.,Negative
"I am trying to do inference on deployed model, An error occurred (ModelError) when calling the InvokeEndpoint operation.",Negative
"[Bug Report]Issue related to Pipeline, unable to create the pipeline",Positive
[Bug Report] output_fn expects incorrect content type,Neutral
[Example Request] TensorFlow 2.9 with SM Training Compiler - Tuning Hyperparameters,Neutral
[Bug Report],Neutral
[Bug Report] SageMaker Pipelines custom callback step notebook fails to run end to end,Negative
sagemaker.exceptions.UnexpectedStatusException: Error for Training job,Negative
Hyperparameter optimisation XGB model via CV via script mode,Positive
[Bug Report],Neutral
Sagemaker runtime_client.invoke_endpoint  not handling redirect,Neutral
[Bug Report] 'text/csv; charset=utf-8` is not supported in Sagemaker Pipeline with sklearn and xgboost models,Negative
Cannot load rJava and RDBC packages to connect to Aurora,Neutral
"[Bug Report] Model Evaluation in abalone HPO example, for 2 best models",Positive
[Example Request] an example notebook to schedule the quality of predictions of multi-class classification models ,Neutral
Unexplained error using custom PyTorch Script in Sagemaker,Negative
"All metrics in statistics.json by Model Quality Monitor are ""0.0 +/- 0.0"", but confusion matrix is built correctly for multi-class classification!!",Negative
[bug] Docker File not building in scikit_bring_your_own example,Neutral
mnist_tensor_analysis.ipynb (TypeError: __init__() missing 1 required positional argument: 'action_str'),Negative
inference pipeline sparkml xgboost notebook missing,Negative
Change the inference container to use HF Inference DLC that does not require any custom script[Content Improvement],Neutral
[Bug Report] xgboost_customer_churn.ipynb fails,Negative
[Example Request] Playing Atari with Deep Reinforcement Learning,Positive
UnexpectedStatusException: Error hosting endpoint xxxxx: Failed. Reason:  The primary container for production variant AllTraffic did not pass the ping health check. Please check CloudWatch logs for this endpoint..,Negative
[Example Request] send an image (and receive a mask back) from a Lambda function to a semantic segmentation model endpoint,Neutral
Creating a smp.DistributedModel which uses 2 pre-trained tf.keras.Models in its call function.,Positive
ONNX inference with EI example does not actually use EI,Neutral
[Please Help!!] Error when hosting tensorflow endpoint in script mode,Negative
[Bug Report] Model Failed to serve at sagemaker endpoint despite increasing gpu memory ,Negative
New Model version not created after changes are committed,Neutral
connect() to unix:/tmp/gunicorn.sock failed (11: Resource temporarily unavailable) while connecting to upstream,Negative
[Bug Report] Can't load xgboost models created with Sagemaker Estimator,Positive
[Bug Report] Maskrcnn training performance regression on TF 2.6 for SMDDP and Horovod,Neutral
[Bug Report] AutoPilot Transformer Model - Unexpected number of columns  ,Neutral
[Example Request] - Distributed Processing SKLEARN : AWS Sagemaker,Neutral
RL Deepracer Notebook:File not Found error,Positive
[Content Improvement] R BYO notebook has reverted to Python?,Neutral
Error in Article 'Analyze Results of a Hyperparameter Tuning job'[Content Improvement],Negative
[Bug Report] ModelError when calling the InvokeEndpoint operation,Neutral
AWS Sagemaker batchtransform job fails if the test dataset size is greater than or equal to 5 MB,Neutral
Pytorch extending container Bug,Neutral
YoloV5s SageMaker Neo compilation failed,Negative
[Example Request] Example showing how to utilise tree collection metrics captured from XGBoost estimator object,Neutral
"[Bug Report] For XGBoost, confusion and TreeDepth rules are not working.",Negative
[Bug Report] Rule - class_imbalance on XGBoost,Neutral
feature_transformation_with_sagemaker_processing_dask.ipynb failed CI,Negative
pytorch_extending_our_containers.ipynb failed CI,Negative
unity_mlagents_learn.ipynb failed CI,Negative
script-mode-container.ipynb failed CI,Negative
framework-container.ipynb failed CI,Negative
script-mode-container-2.ipynb failed CI,Negative
basic_training_container.ipynb failed CI,Negative
fairseq_sagemaker_distributed_translate_de2en.ipynb failed CI,Negative
fairseq_sagemaker_translate_de2en.ipynb failed CI,Negative
fairseq_sagemaker_pretrained_en2fr.ipynb failed CI,Negative
parquet_to_recordio_protobuf.ipynb failed CI,Negative
scikit_bring_your_own.ipynb failed CI,Negative
rapids_sagemaker_hpo.ipynb failed CI,Negative
chainer_single_machine_cifar10.ipynb failed CI,Negative
hpo_bring_your_own_keras_container.ipynb failed CI,Negative
HPO_Analyze_TuningJob_Results.ipynb failed CI,Negative
hpo_image_classification_warmstart.ipynb failed CI,Negative
